_key,_id,id,objectid,last_mod,cat_name,id,globalid
260318,Category/260318,11,260318,2010-06-07T22:00:00.000Z,Other Style,11,{B495C6CA-9269-4D08-8E1B-0314283449FA}
260303,Category/260303,7,260303,2010-06-07T22:00:00.000Z,German Lager,7,{520666BF-4054-4832-B54F-1DAE6F56729A}
260294,Category/260294,1,260294,2010-10-23T22:00:00.000Z,British Ale,1,{CA2EF786-A10E-4B40-9737-9BDDDEA127B0}
260324,Category/260324,5,260324,2010-06-07T22:00:00.000Z,Belgian and French Ale,5,{36095811-0CD8-47AD-8900-5CA67B8F7E90}
260315,Category/260315,3,260315,2010-06-07T22:00:00.000Z,North American Ale,3,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27}
260306,Category/260306,2,260306,2010-06-07T22:00:00.000Z,Irish Ale,2,{14B5AD65-890D-4062-90A7-C42C23B0066E}
260321,Category/260321,4,260321,2010-06-07T22:00:00.000Z,German Ale,4,{A428D1F6-CB00-4559-AAFD-40885A4F2340}
260309,Category/260309,8,260309,2010-06-07T22:00:00.000Z,North American Lager,8,{F9551C7F-AD53-4635-B3E9-9A26943FAE19}
260300,Category/260300,9,260300,2010-06-07T22:00:00.000Z,Other Lager,9,{08EBDC1E-9560-46CF-A2AE-48284E73C69E}
